key,value,eventTime,arrivalTime,processedTime
161582179,61,5507400,5507403,0
164725859,64,5507401,5507402,0
161582183,40,5507474,5507476,0
157384805,74,5507628,5507629,0
160533604,38,5507796,5507798,0
162629732,66,5507911,5507912,0
158434404,44,5508416,5508417,0
159485028,62,5508962,5508963,0
163678308,65,5509042,5509043,0
157384804,73,5509224,5509225,0
159485029,100,5511344,5511345,0
163676260,63,5511553,5511554,0
158436452,68,5511842,5511843,0
159482979,75,5511882,5511883,0
160532580,67,5512171,5512173,0
161582183,40,5512218,5512222,0
161582179,61,5512280,5512281,0
164725859,64,5512297,5512298,0
162629733,71,5512322,5512323,0
157384800,105,5512436,5512437,0
157382756,106,5512512,5512513,0
160533604,38,5512527,5512528,0
157384805,74,5512590,5512592,0
162629732,66,5512823,5512824,0
158434404,44,5513184,5513191,0
159485028,62,5513847,5513851,0
163678308,65,5513946,5513947,0
157384804,73,5514179,5514181,0
163676260,63,5516444,5516445,0
159485029,100,5516472,5516475,0
158436452,68,5516765,5516766,0
159482979,75,5516850,5516851,0
161582183,40,5516962,5516963,0
160532580,67,5517088,5517089,0
161582179,61,5517160,5517162,0
164725859,64,5517192,5517193,0
160533604,38,5517258,5517260,0
162629733,71,5517266,5517267,0
157384805,74,5517552,5517553,0
157384800,105,5517596,5517601,0
157382756,106,5517680,5517689,0
162629732,66,5517735,5517736,0
158434404,44,5517952,5517953,0
159485028,62,5518732,5518733,0
163678308,65,5518850,5518851,0
157384804,73,5519134,5519135,0
163676260,63,5521335,5521336,0
159485029,100,5521600,5521616,0
158436452,68,5521688,5521689,0
161582183,40,5521706,5521707,0
159482979,75,5521818,5521850,0
160533604,38,5521989,5521990,0
160532580,67,5522005,5522006,0
161582179,61,5522040,5522042,0
164725859,64,5522088,5522089,0
162629733,71,5522210,5522211,0
157384805,74,5522514,5522567,0
162629732,66,5522647,5522699,0
158434404,44,5522720,5522721,0
157384800,105,5522756,5522758,0
157382756,106,5522848,5522851,0
159485028,62,5523617,5523618,0
163678308,65,5523754,5523757,0
157384804,73,5524089,5524090,0
163676260,63,5526226,5526227,0
161582183,40,5526450,5526451,0
158436452,68,5526611,5526613,0
160533604,38,5526720,5526721,0
159485029,100,5526728,5526729,0
159482979,75,5526786,5526787,0
161582179,61,5526920,5526921,0
160532580,67,5526922,5526923,0
164725859,64,5526984,5526987,0
162629733,71,5527154,5527155,0
157384805,74,5527476,5527477,0
158434404,44,5527488,5527489,0
162629732,66,5527559,5527560,0
157384800,105,5527916,5527917,0
157382756,106,5528016,5528017,0
159485028,62,5528502,5528503,0
163678308,65,5528658,5528705,0
157384804,73,5529044,5529047,0
163676260,63,5531117,5531118,0
161582183,40,5531194,5531195,0
160533604,38,5531451,5531452,0
158436452,68,5531534,5531537,0
159482979,75,5531754,5531755,0
161582179,61,5531800,5531802,0
160532580,67,5531839,5531840,0
159485029,100,5531856,5531857,0
164725859,64,5531880,5531881,0
162629733,71,5532098,5532099,0
158434404,44,5532256,5532259,0
157384805,74,5532438,5532439,0
162629732,66,5532471,5532472,0
157384800,105,5533076,5533078,0
157382756,106,5533183,5533184,0
159485028,62,5533387,5533388,0
163678308,65,5533562,5533564,0
157384804,73,5533999,5534000,0
161582183,40,5535938,5535961,0
163676260,63,5536008,5536011,0
160533604,38,5536182,5536184,0
158436452,68,5536457,5536460,0
161582179,61,5536680,5536681,0
159482979,75,5536722,5536723,0
160532580,67,5536756,5536757,0
164725859,64,5536776,5536777,0
159485029,100,5536984,5536985,0
158434404,44,5537024,5537025,0
162629733,71,5537042,5537043,0
162629732,66,5537383,5537384,0
157384805,74,5537400,5545120,0
157384800,105,5538236,5538254,0
159485028,62,5538272,5538273,0
157382756,106,5538351,5538354,0
163678308,65,5538466,5538467,0
157384804,73,5538953,5538955,0
161582183,40,5540682,5540684,0
163676260,63,5540899,5540901,0
160533604,38,5540913,5540924,0
158436452,68,5541380,5541381,0
161582179,61,5541560,5541561,0
164725859,64,5541672,5541673,0
160532580,67,5541673,5541674,0
159482979,75,5541690,5541697,0
158434404,44,5541792,5541793,0
