team,key,value,eventTime
1,157379684,58,5478515
0,161582183,40,5479010
1,157378661,23,5479027
0,160533604,38,5479411
0,157384804,73,5479494
0,163678308,65,5479618
0,159485028,62,5479652
0,158434404,44,5479808
1,159473763,14,5480106
1,162622563,88,5480360
1,162623588,28,5480448
1,157378660,53,5480480
0,159485029,100,5480576
1,158425188,13,5480938
1,162622566,59,5481155
1,161570916,47,5481222
0,157384800,105,5481475
0,157382756,106,5481504
1,157379684,57,5481764
1,158426214,24,5481923
0,159482979,75,5482074
1,162622564,49,5482186
0,163676260,63,5482207
1,162619491,16,5482215
0,158436452,68,5482304
1,161570916,52,5482520
0,162629733,71,5482658
0,160532580,67,5482670
0,157384805,74,5482818
0,164725859,64,5482921
0,161582179,61,5483001
0,162629732,66,5483351
1,157379684,58,5483374
1,158425191,97,5483580
1,157378661,23,5483662
0,161582183,40,5483754
0,160533604,38,5484142
0,157384804,73,5484449
0,163678308,65,5484522
0,159485028,62,5484537
0,158434404,44,5484576
1,159473763,14,5484682
1,162623588,28,5485115
1,157378660,53,5485307
1,162622563,88,5485411
1,158425188,13,5485509
0,159485029,100,5485704
1,161570916,47,5486011
1,162622566,59,5486019
1,158426214,24,5486563
1,157379684,57,5486617
0,157384800,105,5486635
0,157382756,106,5486672
1,162619491,16,5486807
1,162622564,49,5486986
0,159482979,75,5487042
0,163676260,63,5487098
0,158436452,68,5487227
1,161570916,52,5487341
0,160532580,67,5487587
0,162629733,71,5487602
0,157384805,74,5487780
0,164725859,64,5487817
0,161582179,61,5487880
1,157379684,58,5488233
0,162629732,66,5488263
1,157378661,23,5488297
0,161582183,40,5488498
1,158425191,97,5488689
0,160533604,38,5488873
1,159473763,14,5489258
0,158434404,44,5489344
0,157384804,73,5489404
0,159485028,62,5489422
0,163678308,65,5489426
1,162623588,28,5489782
1,158425188,13,5490080
1,157378660,53,5490134
1,162622563,88,5490462
1,161570916,47,5490800
0,159485029,100,5490832
1,162622566,59,5490883
1,158426214,24,5491203
1,162619491,16,5491399
1,157379684,57,5491470
1,162622564,49,5491785
0,157384800,105,5491795
0,157382756,106,5491840
0,163676260,63,5491989
0,159482979,75,5492010
0,158436452,68,5492150
1,161570916,52,5492162
0,160532580,67,5492503
0,162629733,71,5492546
0,164725859,64,5492713
0,157384805,74,5492742
0,161582179,61,5492760
1,157378661,23,5492932
1,157379684,58,5493092
0,162629732,66,5493175
0,161582183,40,5493242
0,160533604,38,5493604
1,158425191,97,5493798
1,159473763,14,5493834
0,158434404,44,5494112
0,159485028,62,5494307
0,163678308,65,5494330
0,157384804,73,5494359
1,162623588,28,5494449
1,158425188,13,5494651
1,157378660,53,5494961
1,162622563,88,5495513
1,161570916,47,5495589
1,162622566,59,5495747
1,158426214,24,5495843
0,159485029,100,5495960
1,162619491,16,5495991
1,157379684,57,5496323
1,162622564,49,5496585
0,163676260,63,5496880
0,157384800,105,5496955
0,159482979,75,5496978
1,161570916,52,5496983
0,157382756,106,5497008
0,158436452,68,5497073
0,160532580,67,5497420
0,162629733,71,5497490
1,157378661,23,5497566
0,164725859,64,5497609
0,161582179,61,5497640
0,157384805,74,5497704
1,157379684,58,5497951
0,161582183,40,5497986
0,162629732,66,5498087
0,160533604,38,5498334
1,159473763,14,5498410
0,158434404,44,5498880
1,158425191,97,5498907
1,162623588,28,5499116
0,159485028,62,5499192
1,158425188,13,5499221
0,163678308,65,5499234
0,157384804,73,5499314
1,157378660,53,5499788
1,161570916,47,5500378
1,158426214,24,5500483
1,162622563,88,5500564
1,162619491,16,5500583
1,162622566,59,5500611
0,159485029,100,5501088
1,157379684,57,5501176
1,162622564,49,5501385
0,163676260,63,5501771
1,161570916,52,5501804
0,159482979,75,5501946
0,158436452,68,5501996
0,157384800,105,5502115
0,157382756,106,5502176
1,157378661,23,5502201
0,160532580,67,5502337
0,162629733,71,5502434
0,164725859,64,5502505
0,161582179,61,5502520
0,157384805,74,5502666
0,161582183,40,5502730
1,157379684,58,5502810
1,159473763,14,5502986
0,162629732,66,5502999
0,160533604,38,5503065
0,158434404,44,5503648
1,162623588,28,5503783
1,158425188,13,5503792
1,158425191,97,5504016
0,159485028,62,5504077
0,163678308,65,5504138
0,157384804,73,5504269
1,157378660,53,5504614
1,158426214,24,5505123
1,161570916,47,5505167
1,162619491,16,5505175
1,162622566,59,5505475
1,162622563,88,5505615
1,157379684,57,5506029
1,162622564,49,5506185
0,159485029,100,5506216
1,161570916,52,5506625
0,163676260,63,5506662
1,157378661,23,5506836
0,159482979,75,5506914
0,158436452,68,5506919
0,160532580,67,5507254
0,157384800,105,5507276
0,157382756,106,5507344
0,162629733,71,5507378
0,161582179,61,5507400
0,164725859,64,5507401
0,161582183,40,5507474
1,159473763,14,5507562
0,157384805,74,5507628
1,157379684,58,5507669
0,160533604,38,5507796
0,162629732,66,5507911
1,158425188,13,5508363
0,158434404,44,5508416
1,162623588,28,5508450
0,159485028,62,5508962
0,163678308,65,5509042
1,158425191,97,5509125
0,157384804,73,5509224
1,157378660,53,5509441
1,158426214,24,5509763
1,162619491,16,5509767
1,161570916,47,5509956
1,162622566,59,5510339
1,162622563,88,5510666
1,157379684,57,5510882
1,162622564,49,5510985
0,159485029,100,5511344
1,161570916,52,5511446
1,157378661,23,5511471
0,163676260,63,5511553
0,158436452,68,5511842
0,159482979,75,5511882
1,159473763,14,5512138
0,160532580,67,5512171
0,161582183,40,5512218
0,161582179,61,5512280
0,164725859,64,5512297
0,162629733,71,5512322
0,157384800,105,5512436
0,157382756,106,5512512
0,160533604,38,5512527
1,157379684,58,5512528
0,157384805,74,5512590
0,162629732,66,5512823
1,158425188,13,5512934
1,162623588,28,5513117
0,158434404,44,5513184
0,159485028,62,5513847
0,163678308,65,5513946
0,157384804,73,5514179
1,158425191,97,5514234
1,157378660,53,5514268
1,162619491,16,5514359
1,158426214,24,5514403
1,161570916,47,5514745
1,162622566,59,5515203
1,162622563,88,5515717
1,157379684,57,5515735
1,162622564,49,5515785
1,157378661,23,5516106
1,161570916,52,5516267
0,163676260,63,5516444
0,159485029,100,5516472
1,159473763,14,5516714
0,158436452,68,5516765
0,159482979,75,5516850
0,161582183,40,5516962
0,160532580,67,5517088
0,161582179,61,5517160
0,164725859,64,5517192
0,160533604,38,5517258
0,162629733,71,5517266
1,157379684,58,5517387
1,158425188,13,5517505
0,157384805,74,5517552
0,157384800,105,5517596
0,157382756,106,5517680
0,162629732,66,5517735
1,162623588,28,5517784
0,158434404,44,5517952
0,159485028,62,5518732
0,163678308,65,5518850
1,162619491,16,5518951
1,158426214,24,5519043
1,157378660,53,5519095
0,157384804,73,5519134
1,158425191,97,5519343
1,161570916,47,5519534
1,162622566,59,5520067
1,162622564,49,5520585
1,157379684,57,5520588
1,157378661,23,5520741
1,162622563,88,5520768
1,161570916,52,5521088
1,159473763,14,5521290
0,163676260,63,5521335
0,159485029,100,5521600
0,158436452,68,5521688
0,161582183,40,5521706
0,159482979,75,5521818
0,160533604,38,5521989
0,160532580,67,5522005
0,161582179,61,5522040
1,158425188,13,5522076
0,164725859,64,5522088
0,162629733,71,5522210
1,157379684,58,5522246
1,162623588,28,5522451
0,157384805,74,5522514
0,162629732,66,5522647
0,158434404,44,5522720
0,157384800,105,5522756
0,157382756,106,5522848
1,162619491,16,5523543
0,159485028,62,5523617
1,158426214,24,5523683
0,163678308,65,5523754
1,157378660,53,5523922
0,157384804,73,5524089
1,161570916,47,5524323
1,158425191,97,5524452
1,162622566,59,5524931
1,157378661,23,5525376
1,162622564,49,5525385
1,157379684,57,5525441
1,162622563,88,5525819
1,159473763,14,5525866
1,161570916,52,5525909
0,163676260,63,5526226
0,161582183,40,5526450
0,158436452,68,5526611
1,158425188,13,5526647
0,160533604,38,5526720
0,159485029,100,5526728
0,159482979,75,5526786
0,161582179,61,5526920
0,160532580,67,5526922
0,164725859,64,5526984
1,157379684,58,5527105
1,162623588,28,5527118
0,162629733,71,5527154
0,157384805,74,5527476
0,158434404,44,5527488
0,162629732,66,5527559
0,157384800,105,5527916
0,157382756,106,5528016
1,162619491,16,5528135
1,158426214,24,5528323
0,159485028,62,5528502
0,163678308,65,5528658
1,157378660,53,5528749
0,157384804,73,5529044
1,161570916,47,5529112
1,158425191,97,5529561
1,162622566,59,5529795
1,157378661,23,5530011
1,162622564,49,5530185
1,157379684,57,5530294
1,159473763,14,5530442
1,161570916,52,5530730
1,162622563,88,5530870
0,163676260,63,5531117
0,161582183,40,5531194
1,158425188,13,5531218
0,160533604,38,5531451
0,158436452,68,5531534
0,159482979,75,5531754
1,162623588,28,5531785
0,161582179,61,5531800
0,160532580,67,5531839
0,159485029,100,5531856
0,164725859,64,5531880
1,157379684,58,5531964
0,162629733,71,5532098
0,158434404,44,5532256
0,157384805,74,5532438
0,162629732,66,5532471
1,162619491,16,5532727
1,158426214,24,5532963
0,157384800,105,5533076
0,157382756,106,5533183
0,159485028,62,5533387
0,163678308,65,5533562
1,157378660,53,5533576
1,161570916,47,5533901
0,157384804,73,5533999
1,157378661,23,5534646
1,162622566,59,5534659
1,158425191,97,5534670
1,162622564,49,5534985
1,159473763,14,5535018
1,157379684,57,5535147
1,161570916,52,5535551
1,158425188,13,5535789
1,162622563,88,5535921
0,161582183,40,5535938
0,163676260,63,5536008
0,160533604,38,5536182
1,162623588,28,5536452
0,158436452,68,5536457
0,161582179,61,5536680
0,159482979,75,5536722
0,160532580,67,5536756
0,164725859,64,5536776
1,157379684,58,5536823
0,159485029,100,5536984
0,158434404,44,5537024
0,162629733,71,5537042
1,162619491,16,5537319
0,162629732,66,5537383
0,157384805,74,5537400
1,158426214,24,5537602
0,157384800,105,5538236
0,159485028,62,5538272
0,157382756,106,5538351
1,157378660,53,5538403
0,163678308,65,5538466
1,161570916,47,5538690
0,157384804,73,5538953
1,157378661,23,5539281
1,162622566,59,5539523
1,159473763,14,5539594
1,158425191,97,5539779
1,162622564,49,5539785
1,157379684,57,5540000
1,158425188,13,5540360
1,161570916,52,5540372
0,161582183,40,5540682
0,163676260,63,5540899
0,160533604,38,5540913
1,162622563,88,5540972
1,162623588,28,5541119
0,158436452,68,5541380
0,161582179,61,5541560
0,164725859,64,5541672
0,160532580,67,5541673
1,157379684,58,5541682
0,159482979,75,5541690
0,158434404,44,5541792
